bptt,clip_threshold,lr,dropout,epochs,train_loss,val_loss,train_ppl,val_ppl
30,0.25,0.01,0.3,22,4.734857137680054,5.139309350883259,113.84719308224143,170.5979043327329
30,0.25,0.01,0.5,22,4.796634469509125,5.240733476246104,121.10215789408014,188.80853820761038
20,0.25,0.01,0.3,22,5.001763273239136,5.428700228298411,148.6750829081133,227.85289612599993
20,0.25,0.01,0.5,22,4.987814132213592,5.416593819506028,146.6155906777318,225.1110462866884
10,0.25,0.01,0.3,22,5.481658289909363,5.949400433372049,240.24477271153305,383.5233223277152
