Hidden Layers,Batch Size,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
5,16,0.001,100,0.24952914234770002,0.24947393607322327,0.5,0.525
5,16,0.001,150,0.24911659853645943,0.24901334160580635,0.79,0.915
5,16,0.001,400,0.23670554017621867,0.235560177630798,0.85,0.81
5,16,0.01,100,0.11963901674879515,0.12060605276151691,0.885,0.88
5,16,0.01,150,0.07715808224509102,0.07381247010719627,0.915,0.94
5,16,0.01,400,0.0422064530103804,0.029734909717112304,0.95,0.975
5,16,0.1,100,0.036434282296599736,0.022622260997596167,0.945,0.97
5,16,0.1,150,0.03572253928894489,0.02137302195070715,0.945,0.975
5,16,0.1,400,0.03531887649481164,0.020728091409584065,0.945,0.975
5,32,0.001,100,0.24976265713901052,0.24973534714418327,0.5,0.5
5,32,0.001,150,0.24964111627660665,0.24959909313255862,0.5,0.5
5,32,0.001,400,0.2480932052589055,0.24787577033432523,0.94,0.98
5,32,0.01,100,0.21297336554069696,0.21115554955661356,0.85,0.81
5,32,0.01,150,0.1511345503033683,0.15132081073741876,0.875,0.84
5,32,0.01,400,0.05673181984871304,0.04840649938376754,0.95,0.96
5,32,0.1,100,0.039333748212020694,0.026415872835558827,0.95,0.975
5,32,0.1,150,0.03705849896199647,0.02311436181759806,0.95,0.975
5,32,0.1,400,0.035515926395799056,0.020997982048080174,0.945,0.975
5,64,0.001,100,0.24984884516889125,0.24983203378806035,0.5,0.5
5,64,0.001,150,0.24979494472638183,0.24977143966709242,0.5,0.5
5,64,0.001,400,0.2493703694396977,0.24929624194127897,0.515,0.535
5,64,0.01,100,0.24485722619280473,0.24431389876408255,0.95,0.97
5,64,0.01,150,0.2286097700652946,0.2270531854734188,0.88,0.85
5,64,0.01,400,0.09519590884547942,0.09471579171388786,0.91,0.92
5,64,0.1,100,0.04669198891241666,0.03580024401863516,0.955,0.97
5,64,0.1,150,0.04056289713246367,0.02747334185506829,0.95,0.98
5,64,0.1,400,0.036129951593742306,0.021745219798315164,0.945,0.975
10,16,0.001,100,0.24889888662841922,0.2487667847063179,0.905,0.965
10,16,0.001,150,0.2479335563351242,0.2476930752932494,0.95,0.97
10,16,0.001,400,0.22259414888712684,0.22046605306605657,0.84,0.78
10,16,0.01,100,0.10163431353910898,0.10188221936997995,0.9,0.905
10,16,0.01,150,0.06938099769477196,0.06497705715579097,0.925,0.94
10,16,0.01,400,0.04156509428818222,0.02925091947278556,0.95,0.975
10,16,0.1,100,0.03637075947312622,0.02272012331370711,0.945,0.975
10,16,0.1,150,0.035665666588230005,0.021468066845961448,0.945,0.975
10,16,0.1,400,0.03526098791646182,0.020758029054395548,0.945,0.975
10,32,0.001,100,0.24945171927135631,0.24938244612667504,0.525,0.58
10,32,0.001,150,0.24916083558939878,0.24905835807912685,0.71,0.85
10,32,0.001,400,0.2455799782728773,0.24508652321558094,0.9,0.905
10,32,0.01,100,0.18574192334789216,0.18348751050694198,0.85,0.8
10,32,0.01,150,0.12594466279057184,0.12629877251167965,0.885,0.86
10,32,0.01,400,0.05352816558009328,0.044872918380571586,0.95,0.96
10,32,0.1,100,0.03908279769239506,0.026338239897423166,0.95,0.975
10,32,0.1,150,0.036957388923908964,0.023207705161751618,0.95,0.975
10,32,0.1,400,0.03544995742740977,0.021051099961937565,0.945,0.975
10,64,0.001,100,0.24965901266388207,0.24961329270763444,0.5,0.5
10,64,0.001,150,0.2495275339297082,0.24946677140845763,0.5,0.5
10,64,0.001,400,0.24852048982871414,0.2483453215460979,0.935,0.965
10,64,0.01,100,0.23791265851384538,0.23671140977735458,0.87,0.84
10,64,0.01,150,0.20766600814052041,0.2051153144198738,0.855,0.81
10,64,0.01,400,0.08289559042420787,0.08116432903362196,0.915,0.93
10,64,0.1,100,0.04537524797112095,0.03449840291251288,0.955,0.97
10,64,0.1,150,0.04009733192457523,0.02718400416784342,0.95,0.98
10,64,0.1,400,0.0360427493406369,0.02181878731040747,0.945,0.975
15,16,0.001,100,0.24928119934328774,0.24918624796339478,0.64,0.75
15,16,0.001,150,0.24861615659576575,0.24844159884533326,0.945,0.965
15,16,0.001,400,0.2292030330837217,0.22732103905763104,0.845,0.785
15,16,0.01,100,0.10241412483094173,0.10266594368504153,0.895,0.895
15,16,0.01,150,0.0695175366637279,0.06539359098683198,0.925,0.94
15,16,0.01,400,0.04160749228935786,0.02950205925189864,0.95,0.975
15,16,0.1,100,0.03638139919309746,0.022840812115013397,0.95,0.975
15,16,0.1,150,0.03565923784655963,0.02155875103309282,0.94,0.975
15,16,0.1,400,0.03523862337888954,0.020800280676270645,0.945,0.975
15,32,0.001,100,0.24966965828398244,0.2496221724632067,0.5,0.5
15,32,0.001,150,0.2494639654652169,0.24939115975353193,0.5,0.51
15,32,0.001,400,0.24698662457546852,0.24662511015149227,0.925,0.935
15,32,0.01,100,0.1937698869491824,0.19094872786527475,0.845,0.785
15,32,0.01,150,0.12803602031798975,0.12798198123371823,0.875,0.85
15,32,0.01,400,0.0535819145098109,0.04523627155848116,0.95,0.96
15,32,0.1,100,0.03912282071930486,0.026540181747270335,0.95,0.975
15,32,0.1,150,0.03697513840529346,0.023361052957929375,0.95,0.975
15,32,0.1,400,0.03543081947480539,0.021112859923221396,0.945,0.975
15,64,0.001,100,0.24982064897742262,0.24979174864042306,0.5,0.5
15,64,0.001,150,0.2497247195473478,0.24968389432107924,0.5,0.5
15,64,0.001,400,0.2490202146368475,0.2488935063663833,0.73,0.875
15,64,0.01,100,0.2414653503926875,0.2405405866941289,0.865,0.835
15,64,0.01,150,0.21592942482573388,0.21337063736067846,0.855,0.8
15,64,0.01,400,0.08323227354447559,0.08170260865216003,0.915,0.93
15,64,0.1,100,0.0454354792308818,0.03481718734424757,0.955,0.97
15,64,0.1,150,0.040127589873647465,0.027407127455251316,0.95,0.98
15,64,0.1,400,0.03603180796905023,0.02191601156662177,0.945,0.975
20,16,0.001,100,0.2487887752581061,0.24866581728699508,0.92,0.965
20,16,0.001,150,0.2476347087627647,0.24738551108410042,0.895,0.895
20,16,0.001,400,0.21723137297168152,0.21455882970037016,0.83,0.755
20,16,0.01,100,0.09508159581500589,0.0948751498199228,0.9,0.91
20,16,0.01,150,0.0669094388145638,0.06243311343912853,0.925,0.94
20,16,0.01,400,0.04150484986601126,0.029513899869272598,0.95,0.975
20,16,0.1,100,0.03636219198605229,0.022584373458974058,0.95,0.975
20,16,0.1,150,0.035676023044656044,0.021848756531211516,0.95,0.975
20,16,0.1,400,0.03528499004153203,0.020827864306717448,0.945,0.975
20,32,0.001,100,0.2494793328650119,0.24943277756969118,0.84,0.9
20,32,0.001,150,0.2491079500497473,0.24902017415192468,0.94,0.97
20,32,0.001,400,0.24485690230790233,0.24431230471208493,0.835,0.78
20,32,0.01,100,0.17507006207795356,0.17215663669257175,0.84,0.775
20,32,0.01,150,0.11657069693787953,0.11682296783842631,0.885,0.865
20,32,0.01,400,0.0527244504044645,0.04434739991788047,0.95,0.96
20,32,0.1,100,0.03902953592472064,0.025917295361413593,0.95,0.98
20,32,0.1,150,0.03707814129513473,0.023999921256746593,0.945,0.975
20,32,0.1,400,0.03540710927529332,0.02115101501189801,0.95,0.975
20,64,0.001,100,0.24975638593149388,0.2497407766506094,0.51,0.53
20,64,0.001,150,0.24957616309135833,0.2495403716698852,0.615,0.69
20,64,0.001,400,0.24832490205557206,0.24815090033490228,0.89,0.875
20,64,0.01,100,0.23615529240163682,0.23478342113679568,0.82,0.74
20,64,0.01,150,0.1996192068666505,0.19637059936756998,0.84,0.765
20,64,0.01,400,0.07892586954530807,0.07693080107868902,0.915,0.93
20,64,0.1,100,0.045126031538960436,0.033581398760636,0.95,0.98
20,64,0.1,150,0.040329705244207065,0.028435270491573097,0.95,0.975
20,64,0.1,400,0.035929041108551794,0.0221002807693516,0.95,0.975
25,16,0.001,100,0.24783881957137943,0.24760372914687856,0.57,0.545
25,16,0.001,150,0.2460537896173706,0.245625537730453,0.69,0.635
25,16,0.001,400,0.2063022271693108,0.2033394207524646,0.83,0.75
25,16,0.01,100,0.0922577021129739,0.09187576039726565,0.905,0.91
25,16,0.01,150,0.06566012350821675,0.060799232275945025,0.925,0.94
25,16,0.01,400,0.04134802942580135,0.029292676607453477,0.95,0.98
25,16,0.1,100,0.03634799290160087,0.0228796850637749,0.95,0.975
25,16,0.1,150,0.03564309797821667,0.02161323869958438,0.94,0.975
25,16,0.1,400,0.03521010450017689,0.020852698400425175,0.94,0.975
25,32,0.001,100,0.24885720889602367,0.24873583105066724,0.5,0.5
25,32,0.001,150,0.24832458344950945,0.2481433406952376,0.545,0.52
25,32,0.001,400,0.24181201525202536,0.2409532729657782,0.76,0.715
25,32,0.01,100,0.16469208052035397,0.16239606154845745,0.85,0.8
25,32,0.01,150,0.11214057960459455,0.11236688918123144,0.885,0.87
25,32,0.01,400,0.052149766481282424,0.04354718226325392,0.95,0.96
25,32,0.1,100,0.03896790765656663,0.026492065526897514,0.95,0.975
25,32,0.1,150,0.0369286115221803,0.02340735005040974,0.95,0.975
25,32,0.1,400,0.035374184605691535,0.02118642283526368,0.945,0.975
25,64,0.001,100,0.24922893733713677,0.2491498538424215,0.5,0.5
25,64,0.001,150,0.24899343319966658,0.24888750309894603,0.5,0.5
25,64,0.001,400,0.24714489587023977,0.2468335330560873,0.675,0.61
25,64,0.01,100,0.22974435209540647,0.22786473332839663,0.83,0.755
25,64,0.01,150,0.18863131586600027,0.18546304663976693,0.84,0.78
25,64,0.01,400,0.07696254132397963,0.07454378513952109,0.915,0.93
25,64,0.1,100,0.04485312546615232,0.03432423240184391,0.955,0.97
25,64,0.1,150,0.03994734839627658,0.027330315376764856,0.95,0.98
25,64,0.1,400,0.0359527899580722,0.022026313785886407,0.94,0.975
30,16,0.001,100,0.24798406290204278,0.24773674735909246,0.79,0.74
30,16,0.001,150,0.24624210862319607,0.24579984661107124,0.8,0.76
30,16,0.001,400,0.20725996371978472,0.20423404531473502,0.84,0.76
30,16,0.01,100,0.09197801059979441,0.09158164377311198,0.905,0.91
30,16,0.01,150,0.06549699405372637,0.06066062224646679,0.925,0.94
30,16,0.01,400,0.041333090643211515,0.02931940132874354,0.95,0.98
30,16,0.1,100,0.03634299536422822,0.022898567495691573,0.95,0.975
30,16,0.1,150,0.03564026055488935,0.021631935029014268,0.94,0.975
30,16,0.1,400,0.03520587637459362,0.020863185380388036,0.94,0.975
30,32,0.001,100,0.24900404739426707,0.2488744683511631,0.82,0.765
30,32,0.001,150,0.24846690147478923,0.24827486568070506,0.84,0.79
30,32,0.001,400,0.24213490910356142,0.24126328765971924,0.835,0.765
30,32,0.01,100,0.16511588283729722,0.1626142349690725,0.855,0.81
30,32,0.01,150,0.11182472037992049,0.11198456032419238,0.885,0.865
30,32,0.01,400,0.052071792339549956,0.04351344069070613,0.95,0.96
30,32,0.1,100,0.038957669613147373,0.026516286065827406,0.95,0.975
30,32,0.1,150,0.03692900755397649,0.02343621151485069,0.95,0.975
30,32,0.1,400,0.03537196168920679,0.02120223793446666,0.945,0.975
30,64,0.001,100,0.249391927104828,0.24930770412892414,0.845,0.81
30,64,0.001,150,0.24914555995961002,0.24903240447544137,0.89,0.88
30,64,0.001,400,0.24730637461188956,0.246981711728016,0.855,0.82
30,64,0.01,100,0.2305249725765448,0.22863041394449365,0.865,0.835
30,64,0.01,150,0.18954130206380385,0.18621573267975455,0.85,0.81
30,64,0.01,400,0.07672756361274422,0.07431479859325787,0.915,0.93
30,64,0.1,100,0.044843956495236065,0.03437803286643739,0.955,0.97
30,64,0.1,150,0.03995922334502927,0.027388330783204948,0.95,0.98
30,64,0.1,400,0.035956601322356604,0.022054839427735676,0.94,0.975
