Hidden Layers 1,Hidden Layers 2,Batch Size,Weight Decay,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
15,15,16,1e-06,0.13,1500,0.23637597262859344,0.2568854093551636,0.51,0.59
15,15,16,1e-05,0.13,2000,0.6479705572128296,0.2708742618560791,0.65,0.6
15,15,16,1e-06,0.13,2000,0.1707000583410263,0.2823818027973175,0.55,0.57
15,15,32,1e-05,0.1,1500,0.14155234396457672,0.19006286561489105,0.655,0.7
15,15,32,1e-06,0.1,1500,0.3657016158103943,0.22190897166728973,0.64,0.61
15,15,32,1e-05,0.1,2000,0.18728861212730408,0.20303039252758026,0.655,0.705
15,15,32,1e-06,0.1,2000,0.19532282650470734,0.16249652206897736,0.655,0.745
15,15,32,1e-05,0.13,1500,0.25015050172805786,0.2815036177635193,0.57,0.595
15,15,32,1e-06,0.13,1500,0.2595166862010956,0.2067478597164154,0.615,0.675
15,15,32,1e-05,0.13,2000,0.21419575810432434,0.26774463057518005,0.64,0.585
15,15,32,1e-06,0.13,2000,0.26136305928230286,0.2522006928920746,0.56,0.645
