Hidden Layers 1,Hidden Layers 2,Batch Size,Dropout,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
10,5,16,0.005,0.1,1500,0.2804734706878662,0.17014585435390472,0.76,0.775
10,5,16,0.05,0.1,1500,0.11389722675085068,0.09154348075389862,0.765,0.91
10,5,16,0.1,0.1,1500,0.1648438274860382,0.11777522414922714,0.78,0.865
10,5,16,0.005,0.13,1500,0.14572998881340027,0.17041362822055817,0.715,0.73
10,5,16,0.05,0.13,1500,0.2340473234653473,0.14784342050552368,0.82,0.845
10,5,16,0.1,0.13,1500,0.18171927332878113,0.14156469702720642,0.71,0.82
10,5,32,0.005,0.1,1500,0.11877945810556412,0.14136497676372528,0.79,0.79
10,5,32,0.05,0.1,1500,0.15881654620170593,0.0945657268166542,0.81,0.845
10,5,32,0.1,0.1,1500,0.10962431132793427,0.11019883304834366,0.79,0.895
10,5,32,0.005,0.13,1500,0.19189254939556122,0.22237709164619446,0.6,0.625
10,5,32,0.05,0.13,1500,0.25228846073150635,0.10776481032371521,0.795,0.87
10,5,32,0.1,0.13,1500,0.10574804246425629,0.11765491217374802,0.775,0.865
10,10,16,0.005,0.1,1500,0.16444003582000732,0.2014402598142624,0.595,0.67
10,10,16,0.05,0.1,1500,0.2448013424873352,0.12070781737565994,0.815,0.835
10,10,16,0.1,0.1,1500,0.1745530366897583,0.16846847534179688,0.82,0.755
10,10,16,0.005,0.13,1500,0.25322920083999634,0.22672709822654724,0.51,0.505
10,10,16,0.05,0.13,1500,0.32151585817337036,0.18491214513778687,0.675,0.775
10,10,16,0.1,0.13,1500,0.3021980822086334,0.17344249784946442,0.745,0.77
10,10,32,0.005,0.1,1500,0.12614846229553223,0.12768623232841492,0.825,0.82
10,10,32,0.05,0.1,1500,0.214480459690094,0.15310151875019073,0.775,0.805
10,10,32,0.1,0.1,1500,0.011975456960499287,0.11648405343294144,0.81,0.835
10,10,32,0.005,0.13,1500,0.10660393536090851,0.15312540531158447,0.775,0.84
10,10,32,0.05,0.13,1500,0.24432271718978882,0.16651014983654022,0.73,0.775
10,10,32,0.1,0.13,1500,0.018417857587337494,0.11662415415048599,0.835,0.89
10,15,16,0.005,0.1,1500,0.34780505299568176,0.21419253945350647,0.645,0.675
10,15,16,0.05,0.1,1500,0.2547197937965393,0.1442171335220337,0.73,0.82
10,15,16,0.1,0.1,1500,0.08903349190950394,0.18005406856536865,0.725,0.775
10,15,16,0.005,0.13,1500,0.1566397249698639,0.1795584112405777,0.745,0.695
10,15,16,0.05,0.13,1500,0.1150745078921318,0.12578155100345612,0.775,0.795
10,15,16,0.1,0.13,1500,0.3663598299026489,0.2592090666294098,0.73,0.705
10,15,32,0.005,0.1,1500,0.24738472700119019,0.2009008526802063,0.515,0.49
10,15,32,0.05,0.1,1500,0.2666148543357849,0.23198503255844116,0.635,0.635
10,15,32,0.1,0.1,1500,0.15399502217769623,0.09412148594856262,0.765,0.865
10,15,32,0.005,0.13,1500,0.1862432211637497,0.1488647758960724,0.68,0.805
10,15,32,0.05,0.13,1500,0.011928881518542767,0.11964184045791626,0.765,0.835
10,15,32,0.1,0.13,1500,0.12608522176742554,0.08300219476222992,0.785,0.9
15,5,16,0.005,0.1,1500,0.25949734449386597,0.20335115492343903,0.705,0.685
15,5,16,0.05,0.1,1500,0.03909122571349144,0.11474651098251343,0.875,0.825
15,5,16,0.1,0.1,1500,0.1452377885580063,0.0940423235297203,0.8,0.885
