Gamma,Hidden Layers,Batch Size,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
1,15,32,0.15,1500,0.24599040538010478,0.24417549704796193,0.585,0.575
1,15,32,0.15,2000,0.23739018548432383,0.23934667416208172,0.6,0.575
1,15,64,0.1,1000,0.24746919274115092,0.2470846448585052,0.55,0.57
1,15,64,0.1,1500,0.24747080132551738,0.2467062616018107,0.55,0.565
1,15,64,0.1,2000,0.2474515208260884,0.24734699346586603,0.56,0.565
1,15,64,0.13,1000,0.2474648140339346,0.24702510351011966,0.55,0.57
1,15,64,0.13,1500,0.2474507527000545,0.24656856899621954,0.555,0.56
1,15,64,0.13,2000,0.2473707453565509,0.2471228084110345,0.565,0.555
1,15,64,0.15,1000,0.24746057640329727,0.24699808161045417,0.55,0.565
1,15,64,0.15,1500,0.24742302180103326,0.24645305727911154,0.55,0.56
1,15,64,0.15,2000,0.24721873978162448,0.2467252753491063,0.57,0.56
10,15,16,0.1,1000,0.24919289938516154,0.249149252150919,0.515,0.515
10,15,16,0.1,1500,0.2491159740164535,0.24905397908839746,0.515,0.515
10,15,16,0.1,2000,0.2480606585814851,0.24844496303333188,0.55,0.525
10,15,16,0.13,1000,0.24916915012324264,0.24913171867196676,0.515,0.515
10,15,16,0.13,1500,0.2483907547973933,0.24853051431372325,0.545,0.53
10,15,16,0.13,2000,0.2381362303686305,0.25248697626901256,0.58,0.535
10,15,16,0.15,1000,0.24913137174648659,0.24910430464433603,0.525,0.515
10,15,16,0.15,1500,0.24560619932469763,0.2474516240682084,0.54,0.535
10,15,16,0.15,2000,0.23544605771826096,0.25707604362267766,0.605,0.545
10,15,32,0.1,1000,0.24921478988430884,0.24914787777072345,0.525,0.515
10,15,32,0.1,1500,0.24920553251491234,0.24905926880149976,0.51,0.5
10,15,32,0.1,2000,0.24918503501745748,0.2491249029196585,0.515,0.525
10,15,32,0.13,1000,0.24921051520016987,0.2491397325026147,0.52,0.52
10,15,32,0.13,1500,0.2491931735933672,0.2490375663537281,0.51,0.51
10,15,32,0.13,2000,0.24913001624711534,0.24909154324771599,0.52,0.52
10,15,32,0.15,1000,0.24920742354070793,0.2491349836297068,0.515,0.52
10,15,32,0.15,1500,0.24917848634538003,0.2490214495335334,0.525,0.51
10,15,32,0.15,2000,0.24900256772364662,0.24900326726981775,0.525,0.515
10,15,64,0.1,1000,0.24921909447018778,0.24916398783490684,0.52,0.52
10,15,64,0.1,1500,0.24923039479580025,0.24903934237736286,0.525,0.49
10,15,64,0.1,2000,0.24922991540898437,0.24909601013648502,0.485,0.495
10,15,64,0.13,1000,0.24923109506656094,0.24914233206312236,0.52,0.52
10,15,64,0.13,1500,0.24922858430642797,0.2490085798955283,0.525,0.49
10,15,64,0.13,2000,0.24921557031449745,0.2490903721026363,0.495,0.51
10,15,64,0.15,1000,0.2492357903830492,0.24913872164615136,0.52,0.52
10,15,64,0.15,1500,0.24922590923446072,0.2489928714021331,0.525,0.5
10,15,64,0.15,2000,0.2492053392562827,0.24908640306634502,0.505,0.515
