Hidden Layers,Batch Size,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
10,64,0.01,400,0.24997097054264056,0.24995869751809027,0.625,0.695
10,64,0.1,100,0.24976193830246218,0.24961672222373957,0.44,0.455
10,64,0.1,150,0.24928445919634293,0.2492635287315481,0.595,0.62
10,64,0.1,400,0.2449199690883328,0.24338110576225847,0.585,0.6
15,16,0.001,100,0.25000849458957974,0.2500152377172869,0.5,0.5
15,16,0.001,150,0.2500057059707332,0.2500126036701022,0.5,0.5
15,16,0.001,400,0.24999173501964647,0.2499989742113396,0.5,0.5
15,16,0.01,100,0.24995889347491634,0.24996564204139776,0.59,0.665
15,16,0.01,150,0.24992160022846793,0.24993083489481,0.645,0.63
15,16,0.01,400,0.24924488854298998,0.24932101651056762,0.555,0.555
15,16,0.1,100,0.24780909524986483,0.24860002715904878,0.54,0.56
15,16,0.1,150,0.24057312931532082,0.23693808073552727,0.595,0.63
15,16,0.1,400,0.08219461666884173,0.051735438767478256,0.9,0.955
15,32,0.001,100,0.2500114357960964,0.2500181155694058,0.5,0.5
15,32,0.001,150,0.25000998774845273,0.25001687443895976,0.5,0.5
15,32,0.001,400,0.2500015947516176,0.25000874295961034,0.5,0.5
15,32,0.01,100,0.24998679722661263,0.24999248698421442,0.5,0.5
15,32,0.01,150,0.24997213197434562,0.24998026878117915,0.5,0.5
15,32,0.01,400,0.24983373307145867,0.24984824613468362,0.545,0.575
15,32,0.1,100,0.24861321294109484,0.2486740709447102,0.54,0.53
15,32,0.1,150,0.24810601466614346,0.2489720749658157,0.555,0.58
15,32,0.1,400,0.19672509318704734,0.17772337837705046,0.76,0.855
15,64,0.001,100,0.2500129616318653,0.25001961225635894,0.5,0.5
15,64,0.001,150,0.25001223643421633,0.2500191237951728,0.5,0.5
15,64,0.001,400,0.25000680028668776,0.2500139356607732,0.5,0.5
15,64,0.01,100,0.2500014676808875,0.25000669343022774,0.5,0.5
15,64,0.01,150,0.24999389813401485,0.2500015988632884,0.5,0.5
15,64,0.01,400,0.24993750469882514,0.24994931169558213,0.63,0.63
15,64,0.1,100,0.24966294941106298,0.24959601708695703,0.485,0.47
15,64,0.1,150,0.24909205353637248,0.24926701305249652,0.585,0.605
15,64,0.1,400,0.24665885327758943,0.2469779174637389,0.56,0.59
20,16,0.001,100,0.24997250597973944,0.24997634900152824,0.505,0.555
20,16,0.001,150,0.24996887739711202,0.24997172371566045,0.52,0.585
20,16,0.001,400,0.24994973348170352,0.24994941275816143,0.58,0.66
20,16,0.01,100,0.24988858468304984,0.24988319004130977,0.625,0.63
20,16,0.01,150,0.2498151990554702,0.24979858065840937,0.575,0.615
20,16,0.01,400,0.24887301269068604,0.24904609049435478,0.55,0.565
20,16,0.1,100,0.2476812979266171,0.24864709010919164,0.55,0.575
20,16,0.1,150,0.23974980017790826,0.23483565362639916,0.605,0.625
20,16,0.1,400,0.11186921178085146,0.08024913677904025,0.875,0.96
20,32,0.001,100,0.24997601521547366,0.2499805670161737,0.5,0.515
20,32,0.001,150,0.24997424484600528,0.24997794152400338,0.5,0.52
20,32,0.001,400,0.2499655487605673,0.24996761048740945,0.5,0.52
20,32,0.01,100,0.24993831460109256,0.24993944472900678,0.565,0.645
20,32,0.01,150,0.24991374147947923,0.2499055353294537,0.62,0.675
20,32,0.01,400,0.2496829066748994,0.24966695383523826,0.65,0.64
20,32,0.1,100,0.24837391568891432,0.24929590141778996,0.555,0.535
20,32,0.1,150,0.248012773938152,0.24839586556246077,0.555,0.565
20,32,0.1,400,0.18483295306079506,0.1720962798612013,0.78,0.86
20,64,0.001,100,0.2499777633794429,0.2499826706657533,0.5,0.5
20,64,0.001,150,0.24997691396957683,0.24998103935672922,0.5,0.5
20,64,0.001,400,0.2499733280783478,0.24997659220396176,0.5,0.5
20,64,0.01,100,0.24995891290407865,0.24996331755865475,0.5,0.52
20,64,0.01,150,0.24994897678383532,0.24994519743911206,0.5,0.53
20,64,0.01,400,0.24988629631575493,0.2498755574939603,0.505,0.54
20,64,0.1,100,0.24933720402004556,0.2495153182610788,0.55,0.58
20,64,0.1,150,0.24872553295118202,0.24864471157510104,0.555,0.565
20,64,0.1,400,0.24681557214995606,0.24719300103083555,0.545,0.56
25,16,0.001,100,0.24998829951144338,0.24991779234746211,0.5,0.5
25,16,0.001,150,0.24998456275781428,0.24991495782390738,0.5,0.5
25,16,0.001,400,0.24996651626420857,0.24989987357225465,0.465,0.425
25,16,0.01,100,0.24991740754570482,0.2498488918457381,0.395,0.375
25,16,0.01,150,0.2498575316501062,0.24979033810062407,0.535,0.54
25,16,0.01,400,0.24894524808837282,0.24901702442950913,0.545,0.565
25,16,0.1,100,0.24743365735229514,0.24802370728971274,0.545,0.565
25,16,0.1,150,0.23681869571883812,0.2310845539916816,0.61,0.63
25,16,0.1,400,0.09229016236158333,0.06280837667134237,0.9,0.955
25,32,0.001,100,0.2499917216724048,0.24992039128920532,0.5,0.5
25,32,0.001,150,0.24998951046155973,0.24991892653576728,0.5,0.5
25,32,0.001,400,0.2499797110127447,0.24991133446234984,0.5,0.5
25,32,0.01,100,0.24995804455481835,0.2498866888481076,0.45,0.425
25,32,0.01,150,0.249935890275221,0.24986978139294203,0.46,0.475
25,32,0.01,400,0.2497168776922248,0.24965087167135777,0.54,0.54
25,32,0.1,100,0.24843388063381205,0.24869148631969104,0.51,0.495
25,32,0.1,150,0.2479840031644126,0.24878880826273236,0.55,0.58
25,32,0.1,400,0.18916295222592805,0.1719460980790764,0.79,0.84
25,64,0.001,100,0.2499934536858508,0.24992169810977483,0.5,0.5
25,64,0.001,150,0.24999201165793442,0.24992090684190266,0.5,0.5
25,64,0.001,400,0.24998631008744654,0.24991685329999858,0.5,0.5
25,64,0.01,100,0.24997543296832306,0.24990140026466004,0.5,0.5
25,64,0.01,150,0.2499631656104007,0.24989503208513708,0.37,0.355
25,64,0.01,400,0.24988407722471892,0.24982285326296064,0.455,0.46
25,64,0.1,100,0.24951645151280138,0.24931176672476524,0.4,0.36
25,64,0.1,150,0.24888652683685714,0.24906176060586396,0.56,0.595
25,64,0.1,400,0.24479839292016617,0.2436722384081347,0.58,0.595
30,16,0.001,100,0.25001577709293343,0.25000198147348635,0.385,0.35
30,16,0.001,150,0.25001081283090865,0.2499971490797726,0.38,0.335
30,16,0.001,400,0.24998570366646752,0.24997153167554312,0.4,0.355
30,16,0.01,100,0.24992356918526848,0.24990444715337476,0.44,0.47
30,16,0.01,150,0.24985456538006456,0.2498363055857344,0.55,0.57
30,16,0.01,400,0.24888925668774348,0.2490540703883983,0.55,0.555
30,16,0.1,100,0.2480540916551928,0.2494220331439257,0.54,0.555
30,16,0.1,150,0.24764548205373604,0.24845900321105419,0.55,0.585
30,16,0.1,400,0.09556278760465155,0.06413364921194306,0.89,0.96
30,32,0.001,100,0.25002051768535255,0.2500067683328706,0.365,0.33
30,32,0.001,150,0.2500178510282378,0.25000445468200333,0.355,0.325
30,32,0.001,400,0.2500037640779882,0.2499903850499797,0.495,0.47
30,32,0.01,100,0.24997434044270553,0.24995627629979622,0.45,0.39
30,32,0.01,150,0.24994724431102255,0.2499326216131825,0.605,0.635
30,32,0.01,400,0.24970021730257982,0.24968841209174605,0.54,0.54
30,32,0.1,100,0.2484360402442465,0.24884432756798508,0.5,0.5
30,32,0.1,150,0.2481810067866183,0.2492731576350774,0.545,0.585
30,32,0.1,400,0.22511330941750538,0.2194955996414916,0.7,0.73
30,64,0.001,100,0.2500229094051012,0.25000918374169817,0.36,0.32
30,64,0.001,150,0.25002141173168213,0.2500081512858962,0.355,0.335
30,64,0.001,400,0.2500128775138215,0.24999989267204625,0.435,0.365
30,64,0.01,100,0.24999751419416902,0.24997973507586835,0.5,0.5
30,64,0.01,150,0.24998333944419288,0.24997014451256855,0.58,0.66
30,64,0.01,400,0.24988526294028546,0.24987485562628467,0.52,0.505
30,64,0.1,100,0.24953099669705633,0.2494333093338531,0.405,0.355
30,64,0.1,150,0.24889490073107423,0.24918464818942773,0.575,0.585
30,64,0.1,400,0.24788611268676453,0.24958757956784494,0.55,0.58
